,Date,主讲,书名,作者,类别,豆瓣链接,FB event,"人数
1,3/29/2015,Raymond Tian,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel/Blake Masters,商业,http://book.douban.com/subject/26297606/,,
2,4/5/2015,Kelly Zhu,陈寅恪《魏晋南北朝史演讲录》,万绳楠,历史,http://book.douban.com/subject/2032141/,https://www.facebook.com/events/750717495025754/,
3,4/12/2015,Fanglin Lv,Outliers: The Story of Success,Gladwell Malcolm,成功类,http://book.douban.com/subject/3134517/,https://www.facebook.com/events/1640192856210614/,
4,4/19/2015,Wenjie Lin,陆犯焉识,严歌苓,小说,http://book.douban.com/subject/6880158/,https://www.facebook.com/events/654039874729792/,25
5,4/26/2015,Claire Zhu,旅行的艺术,Alain de Botton,散文,http://book.douban.com/subject/1056461/,https://www.facebook.com/events/102973343367558/,40
6,5/3/2015,郭涛,River town: Two Years on the Yangtze,Peter Hessler,纪实文学,http://book.douban.com/subject/1828090/,https://www.facebook.com/events/363022133904196/,40
7,5/10/2015,Jing Zuo,《文学回忆录》-之希腊罗马神话部分,木心 口述、陈丹青 笔录,笔记,http://book.douban.com/subject/20440644/,https://www.facebook.com/events/588332271270514/,
8,5/17/2015,Weihan Wang,"Business Adventures: Twelve Classic Tales from the World of Wall Street ",John Brooks,商业类,http://book.douban.com/subject/25925797/,https://www.facebook.com/events/430113350493650/,60
9,5/31/2015,周锋锁,The Great Dissent: How Oliver Wendell Holmes Changed His Mind and Changed the History of Free Speech in America,Thomas Healy,政治类,http://book.douban.com/subject/20018499/,https://www.facebook.com/events/1590241204559303/,
10,6/7/2015,Winston Wu,"Guns, Germs, and Steel",Jared M. Diamond,人类学,http://book.douban.com/subject/1813841/,https://www.facebook.com/events/600966463379235/,
11,6/14/2015,Rex Zhen,新教伦理与资本主义精神,马克斯·韦伯,社会学,http://book.douban.com/subject/1433411/,https://www.facebook.com/events/1168850036474247/,25
12,6/21/2015,Peng Liang,浪潮之巅,吴军,创业,http://book.douban.com/subject/6709783/,https://www.facebook.com/events/1603487263255869/,50
13,6/28/2015,Kun Han,筱竹林中/罗生门,芥川龙之芥／黑泽明,小说/电影,http://movie.douban.com/subject/1291879/,https://www.facebook.com/events/102668663410211/,25
14,7/5/2015,Yu Liwei,認識電影，戰後歐美電影流派,路易斯•贾内梯,电影,http://book.douban.com/subject/2326403/,https://www.facebook.com/events/430085660510220/,40+
15,7/12/2015,Zhu Yuhao,传统十论,秦晖,历史/社会,http://book.douban.com/subject/1076378/,https://www.facebook.com/events/123105834692210/,28
16,7/19/2015,Andy,三体,刘慈欣,科幻,http://book.douban.com/subject/2567698/,https://www.facebook.com/events/709002629228766/,<50
17,7/26/2015,劉雁,Fateful Ties: A History of America's Preoccupation with China,Gordon Chang,政治/国际关系,http://book.douban.com/subject/26264397/,https://www.facebook.com/events/424933377714086/,
18,8/2/2015,Ci Zhang  ,紀錄片總概括  《流浪北京》,吴文光,纪录片,http://movie.douban.com/subject/1461188/,https://www.facebook.com/events/1009854215721899/,
19,8/9/2015,Rebecca,Wealth and Power,Orville Schell/John Delury,社会/政治,http://book.douban.com/subject/22796091/,https://www.facebook.com/events/876347262443675/,
20,8/16/2015,Tanya,瓦尔登湖,亨利大卫梭罗,散文,http://book.douban.com/subject/3522695/,,
21,8/23/2015,Yong,1587: A Year of No Significance,Ray Huang,历史,http://book.douban.com/subject/1858410/,,
22,8/30/2015,宋洁,The Practicing Mind,Thomas M. Sterner,心理学,http://book.douban.com/subject/6984370/,,
23,9/6/2015,Qiongying Hu,科幻文学历史及其流派,综述,文学,,,
24,9/13/2015,Zhimin/Yunzhi Gao,正見,宗萨蒋扬钦哲仁波切,佛学,http://book.douban.com/subject/1963912/,,
25,9/20/2015,Li Xiang ,京劇,,,,,
26,9/27/2015,Cecil,Go Set a Watchman: A Novel,Harper Lee,小说,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859,,
27,10/4/2015,刘雁,知识分子话题,综述,社会,,,
28,10/11/2015,Liz ,Self-Empowerment 101,Rosie E Kuhn,心理學,,,
29,10/18/2015,Yoga Yang 杨羽佳,人性的弱點,卡耐基,成功学,http://book.douban.com/subject/1056295/,,
30,10/25/2015,Zhang Ci ,認識現代舞蹈,,,,,
31,11/1/2015,Julia,world order ,基辛格,,,,
32,11/8/2015,Fengsuo Zhou,,,,,,
33,11/15/2015,Rex   ,《时间简史》或者《历史研究》,,,,,
34,11/22/2015,Fei Huang,围城,钱钟书,,,,
35,11/29/2015,待定,挪威的森林,村上春树,,,,
36,12/6/2015,Zhiyong Wang,GEB集异壁之大成,候世达,哲学,http://book.douban.com/subject/1291204/,,
37,12/13/2015,,Back up ,,,,,
38,12/20/2015,,Back up ,,,,,
39,12/27/2015,,易經,,,,,
40,1/3/2016,Jacky Zhao,我是马拉拉,马拉拉 / 翁雅如、朱浩一,社会,http://book.douban.com/subject/26109489/,,
